Date,America,Europe,EU,EU15,Other EU,Countries,World,America_norm,Europe_norm,EU_norm,EU15_norm,Other EU_norm,Countries_norm,World_norm
2017-03-31,810000.0,11831000.0,10923000.0,9228000.0,1695000.0,3293000.0,15934000.0,0.4370493621741542,0.4785421335250095,0.47175496986597104,0.47026686278629964,0.4583954667461974,0.7008032128514057,0.5163331270201499
2017-06-30,1323000.0,18700000.0,17694000.0,15257000.0,2438000.0,3720000.0,23744000.0,0.7215751525235718,0.768973827745127,0.7762885670594585,0.7869825593612103,0.6799880703847301,0.7960731816153503,0.7848841207619833
2017-09-30,1774000.0,23380000.0,22023000.0,18682000.0,3341000.0,3545000.0,28699000.0,0.9717138103161398,0.9668512959282906,0.9709903751011963,0.9669048119352806,0.9492991351028929,0.7570281124497992,0.9552644247300736
2017-12-31,1215000.0,14418000.0,13441000.0,11392000.0,2049000.0,3232000.0,18865000.0,0.6616749861342207,0.5879244006595915,0.5850049473778898,0.5839462071863837,0.5639725618848792,0.6871932173136992,0.6171171171171171
2018-03-31,923000.0,12195000.0,11222000.0,9451000.0,1771000.0,3474000.0,16592000.0,0.4997226844148641,0.4939326032725889,0.48520284249347845,0.4819815087203194,0.4810617357590218,0.7411869701026328,0.5389588061343786
2018-06-30,1569000.0,19552000.0,18328000.0,15831000.0,2497000.0,3525000.0,24646000.0,0.8580144204104271,0.8049976745169337,0.8048034541692902,0.817135952931288,0.6975842529078438,0.752565818830879,0.8158998693349838
2018-09-30,1794000.0,24164000.0,22668000.0,19312000.0,3355000.0,3965000.0,29923000.0,0.9828064337215752,1.0,1.0,1.0,0.9534745004473606,0.8507362784471219,0.9973523141462073
2018-12-31,1437000.0,14600000.0,13593000.0,11654000.0,1939000.0,3372000.0,19409000.0,0.7848031059345535,0.5956196355333813,0.591841324098228,0.5977096028577432,0.5311661198926335,0.7184292726461401,0.6358228457465098
2019-03-31,870000.0,13514000.0,12366000.0,10248000.0,2118000.0,3776000.0,18159000.0,0.47032723239046037,0.5497019153524164,0.5366555725465503,0.5238495482244169,0.5845511482254697,0.8085676037483266,0.592840932535589
2019-06-30,1615000.0,20298000.0,18915000.0,15998000.0,2917000.0,3847000.0,25760000.0,0.8835274542429284,0.8365396811974124,0.8312044616353332,0.8259088043706662,0.822845213241873,0.8244087460954931,0.8542053503885565
2019-09-30,1825000.0,24092000.0,22313000.0,18801000.0,3511000.0,4082000.0,30000000.0,1.0,0.9969557312587206,0.9840334622649995,0.9731561252363942,1.0,0.8768406961178046,1.0
2019-12-31,1252000.0,14567000.0,13363000.0,11189000.0,2174000.0,3348000.0,19167000.0,0.6821963394342762,0.5942243456936281,0.581496806692453,0.5732822021433074,0.6012526096033403,0.713074520303436,0.6275015473488756
2020-03-31,843000.0,9966000.0,9120000.0,7462000.0,1658000.0,3082000.0,13891000.0,0.45535219079312256,0.39968711682381297,0.3906629486372223,0.37749527211599077,0.44736057262153295,0.6537260151717983,0.4460834880682209
2020-06-30,43000.0,745000.0,,,,152000.0,939000.0,0.011647254575707155,0.00980931038856708,,,,0.0,0.0007220961419434702
2020-09-30,82000.0,5789000.0,,,,319000.0,6191000.0,0.033277870216306155,0.22307724831930997,,,,0.037260151717983046,0.18131490268894848
2020-12-31,88000.0,2192000.0,,,,526000.0,2806000.0,0.036605657237936774,0.07099065578622468,,,,0.08344489067380634,0.06491988171377484
2021-03-31,22000.0,513000.0,434000.0,276000.0,158000.0,384000.0,918000.0,0.0,0.0,0.0,0.0,0.0,0.05176260597947345,0.0
2021-06-30,42000.0,860000.0,773000.0,526000.0,246000.0,250000.0,1152000.0,0.011092623405435386,0.014671684072555072,0.015246919132859584,0.013133011136793445,0.0262451535937966,0.02186523873270861,0.008046214153084381
2021-09-30,151000.0,7257000.0,6835000.0,5227000.0,1608000.0,700000.0,8108000.0,0.07154742096505824,0.28514650543317405,0.28789241701897994,0.2600861525530574,0.4324485535341485,0.12226684515841142,0.2472319647892167
2021-12-31,407000.0,7183000.0,6601000.0,5525000.0,1076000.0,1373000.0,8963000.0,0.21353300055463117,0.28201767367130354,0.2773679949626698,0.27574070182811516,0.27378467044437815,0.27242302543507363,0.27663159342548654
2022-03-31,460000.0,7089000.0,6330000.0,5293000.0,1037000.0,2029000.0,9578000.0,0.24292845257903495,0.27804321170352203,0.26517945488890887,0.2635532674931708,0.2621532955562183,0.41878625613565373,0.2977786947252596
2022-06-30,995000.0,16464000.0,15175000.0,13053000.0,2122000.0,2964000.0,20423000.0,0.5396561286744315,0.6744323707242823,0.662993613384906,0.6712019331792394,0.5857441097524605,0.6273984828201695,0.6706897737432088
2022-09-30,1425000.0,20422000.0,18633000.0,15828000.0,2805000.0,3104000.0,24952000.0,0.7781475318912923,0.8417825884740603,0.8185211837726005,0.8169783567976465,0.7894422904861318,0.6586345381526104,0.8264218416890172
2022-12-31,1070000.0,12121000.0,11166000.0,9457000.0,1709000.0,2806000.0,15998000.0,0.5812534664448142,0.49080377151071836,0.4826841773859854,0.4822967009876024,0.4625708320906651,0.5921463632307006,0.5185338009765491
2023-03-31,742000.0,10935000.0,9972000.0,8322000.0,1650000.0,3605000.0,15281000.0,0.39933444259567386,0.44065790030019875,0.42898263920122337,0.4226728304265602,0.44497464956755145,0.7704149933065596,0.4938793755587649
2023-06-30,1158000.0,18411000.0,16881000.0,14425000.0,2456000.0,3831000.0,23400000.0,0.6300610094287299,0.7567544712697137,0.7397229468381757,0.7432758982979617,0.6853563972561885,0.820838911200357,0.7730554982463379
2023-09-30,1416000.0,23033000.0,20845000.0,17913000.0,2932000.0,3871000.0,28320000.0,0.7731558513588463,0.9521796118557355,0.9180084555185751,0.9265076696785038,0.8273188189680882,0.8297634984381972,0.9422323086445223
2023-12-31,1221000.0,14338000.0,13071000.0,11099000.0,1972000.0,3644000.0,19203000.0,0.6650027731558513,0.5845418798359477,0.5683637672033822,0.5685543181340618,0.5410080524903071,0.7791164658634538,0.6287394264493501
2024-03-31,870000.0,11840000.0,10608000.0,8731000.0,1877000.0,4132000.0,16843000.0,0.47032723239046037,0.47892266711766945,0.45758747863632276,0.4441584366463543,0.5126752162242768,0.8879964301651049,0.5475895743071315
2024-06-30,1432000.0,19354000.0,17584000.0,14851000.0,2734000.0,4634000.0,25420000.0,0.7820299500831946,0.7966259354784153,0.77134118916974,0.7656545492750578,0.7682672233820459,1.0,0.842514269995186
2024-09-30,1430000.0,24063000.0,21383000.0,17997000.0,3386000.0,3438000.0,28931000.0,0.7809206877426511,0.9957295674601496,0.9422056310155618,0.9309203614204665,0.962719952281539,0.7331548415885766,0.9632418678220205
2024-12-31,980000.0,15344000.0,13870000.0,11439000.0,2430000.0,3916000.0,20240000.0,0.5313366611203549,0.6270770791932688,0.6042997211477916,0.5864152132801008,0.6776021473307486,0.8398036590807675,0.6643972216491301
2025-03-31,950000.0,13451000.0,12184000.0,9797000.0,2386000.0,4306000.0,18707000.0,0.5146977260122019,0.5470381802037969,0.528469910947198,0.5001575961336415,0.6644795705338503,0.92681838464971,0.6116842032872567
2025-06-30,797000.0,21200000.0,19139000.0,16219000.0,2920000.0,3954000.0,25951000.0,0.4298391569606212,0.8746776034839965,0.8412791220653054,0.8375183862155915,0.823739934387116,0.8482820169567158,0.8607729867271852
